productId,name,description,category,fabricCollectionOptions,fabricColorOptions,pricingRules,options
roman_shade2,Roman Shades,Roman Shades,Shades,Glowstone,Alabaster,pricingRule017,"options36, options37, options38, options39, options40, options41, options42, options43, options56, options57, options58, options59, options60, options61, options45, options51"
roman_shade3,Roman Shades,Roman Shades,Shades,Serentiy,Frostwood,pricingRule017,"options36, options37, options38, options39, options40, options41, options42, options43, options56, options57, options58, options59, options60, options61, options45, options51"
roman_shade4,Roman Shades,Roman Shades,Shades,Tranquility,Shimmerdust,pricingRule017,"options36, options37, options38, options39, options40, options41, options42, options43, options56, options57, options58, options59, options60, options61, options45, options51"
roman_shade5,Roman Shades,Roman Shades,Shades,Poppy,Starlight,pricingRule018,"options36, options37, options38, options39, options40, options41, options42, options43, options56, options57, options58, options59, options60, options61, options46, options52"
roman_shade6,Roman Shades,Roman Shades,Shades,Monarch,"Harmony, Azure",pricingRule018,"options36, options37, options38, options39, options40, options41, options42, options43, options56, options57, options58, options59, options60, options61, options46, options52"
roman_shade7,Roman Shades,Roman Shades,Shades,Horizon,Charm,pricingRule018,"options36, options37, options38, options39, options40, options41, options42, options43, options56, options57, options58, options59, options60, options61, options46, options52"
roman_shade8,Roman Shades,Roman Shades,Shades,Aurora,"Candied Walnut, Basil",pricingRule019,"options36, options37, options38, options39, options40, options41, options42, options43, options56, options57, options58, options59, options60, options61, options47, options53"
roman_shade9,Roman Shades,Roman Shades,Shades,Sky Stream,Ashwood,pricingRule020,"options36, options37, options38, options39, options40, options41, options42, options43, options56, options57, options58, options59, options60, options61, options48, options54"
roman_shade10,Roman Shades,Roman Shades,Shades,Mosaic,"Deepwater, Ravenwood",pricingRule020,"options36, options37, options38, options39, options40, options41, options42, options43, options56, options57, options58, options59, options60, options61, options48, options54"
roman_shade11,Roman Shades,Roman Shades,Shades,Halo,Sage,pricingRule020,"options36, options37, options38, options39, options40, options41, options42, options43, options56, options57, options58, options59, options60, options61, options48, options54"
roman_shade12,Roman Shades,Roman Shades,Shades,Parchment,Honey,pricingRule021,"options36, options37, options38, options39, options40, options41, options42, options43, options56, options57, options58, options59, options60, options61, options49, options55"
roman_shade13,Roman Shades,Roman Shades,Shades,Magnolia,Pomegranate,pricingRule021,"options36, options37, options38, options39, options40, options41, options42, options43, options56, options57, options58, options59, options60, options61, options49, options55"
roman_shade14,Roman Shades,Roman Shades,Shades,Willow,Eclipse,pricingRule021,"options36, options37, options38, options39, options40, options41, options42, options43, options56, options57, options58, options59, options60, options61, options49, options55"
quick_ship_panel0,Quick Ship Panels,Quick Ship Panels,Curtains,Fresco,"Tawnywood, Driftwood",pricingRule022,"options62, options63, options64, options65, options66, options67, options68, options69"
quick_ship_panel1,Quick Ship Panels,Quick Ship Panels,Curtains,Radiance,Goldenrod,pricingRule023,"options62, options63, options64, options65, options66, options67, options68, options69"
quick_ship_panel2,Quick Ship Panels,Quick Ship Panels,Curtains,Glowstone,Alabaster,pricingRule023,"options62, options63, options64, options65, options66, options67, options68, options69"
quick_ship_panel3,Quick Ship Panels,Quick Ship Panels,Curtains,Serentiy,Frostwood,pricingRule023,"options62, options63, options64, options65, options66, options67, options68, options69"
quick_ship_panel4,Quick Ship Panels,Quick Ship Panels,Curtains,Tranquility,Shimmerdust,pricingRule023,"options62, options63, options64, options65, options66, options67, options68, options69"
quick_ship_panel5,Quick Ship Panels,Quick Ship Panels,Curtains,Poppy,Starlight,pricingRule024,"options62, options63, options64, options65, options66, options67, options68, options69"
quick_ship_panel6,Quick Ship Panels,Quick Ship Panels,Curtains,Monarch,"Harmony, Azure",pricingRule024,"options62, options63, options64, options65, options66, options67, options68, options69"
quick_ship_panel7,Quick Ship Panels,Quick Ship Panels,Curtains,Horizon,Charm,pricingRule024,"options62, options63, options64, options65, options66, options67, options68, options69"
quick_ship_panel8,Quick Ship Panels,Quick Ship Panels,Curtains,Aurora,"Candied Walnut, Basil",pricingRule025,"options62, options63, options64, options65, options66, options67, options68, options69"
quick_ship_panel9,Quick Ship Panels,Quick Ship Panels,Curtains,Sky Stream,Ashwood,pricingRule026,"options62, options63, options64, options65, options66, options67, options68, options69"
quick_ship_panel10,Quick Ship Panels,Quick Ship Panels,Curtains,Mosaic,"Deepwater, Ravenwood",pricingRule026,"options62, options63, options64, options65, options66, options67, options68, options69"
quick_ship_panel11,Quick Ship Panels,Quick Ship Panels,Curtains,Halo,Sage,pricingRule026,"options62, options63, options64, options65, options66, options67, options68, options69"
quick_ship_panel12,Quick Ship Panels,Quick Ship Panels,Curtains,Parchment,Honey,pricingRule027,"options62, options63, options64, options65, options66, options67, options68, options69"
quick_ship_panel13,Quick Ship Panels,Quick Ship Panels,Curtains,Magnolia,Pomegranate,pricingRule027,"options62, options63, options64, options65, options66, options67, options68, options69"
quick_ship_panel14,Quick Ship Panels,Quick Ship Panels,Curtains,Willow,Eclipse,pricingRule027,"options62, options63, options64, options65, options66, options67, options68, options69"
